class,b1,b2,b3,b4,b5,b6,b7,b8,b9,id
d,39,36,57,91,59,101,93,27,60,1
h,84,30,57,112,51,98,92,26,62,2
s,53,25,49,99,51,93,84,26,58,3
s,59,26,49,103,47,92,82,25,56,4
d,57,49,66,103,64,106,114,28,59,5
h,85,28,56,120,52,98,101,27,65,6
s,56,29,50,93,51,94,77,26,58,7
d,40,39,58,82,61,99,89,26,57,8
s,53,27,49,95,49,92,63,25,54,9
o,51,57,77,90,89,123,97,47,83,10
d,34,32,53,97,53,97,59,22,50,11
o,75,68,89,116,77,118,94,42,76,12
o,64,52,71,98,72,109,87,37,70,13
d,51,47,67,95,66,106,97,26,56,14
s,63,28,52,93,51,93,84,25,59,15
o,41,44,67,64,71,104,84,54,85,16
o,67,68,89,108,74,114,117,44,86,17
d,62,59,73,91,78,109,112,28,59,18
s,50,25,49,92,48,90,62,23,52,19
h,74,29,55,114,52,101,94,28,65,20
o,78,85,101,124,82,126,91,50,80,21
d,61,50,69,91,73,105,111,27,59,22
s,55,30,53,86,52,94,69,28,61,23
h,68,28,54,110,50,98,95,27,64,24
d,57,55,71,102,70,108,126,27,59,25
h,74,30,57,109,50,98,88,28,64,26
o,66,78,101,106,73,114,112,36,73,27
d,50,39,62,108,55,101,95,26,58,28
d,50,51,73,78,61,98,89,25,55,29
d,45,39,60,105,60,106,98,27,57,30
d,45,39,61,108,57,108,74,27,57,31
s,57,28,49,96,48,92,78,25,57,32
o,67,75,95,92,84,120,81,53,86,33
s,68,28,54,104,50,96,90,28,61,34
d,49,46,67,105,57,100,91,25,55,35
d,56,50,68,80,70,100,107,27,60,36
d,61,77,108,83,69,103,93,24,55,37
h,82,29,54,111,51,97,107,26,63,38
o,63,70,92,90,87,129,103,70,109,39
d,54,57,78,77,69,100,97,26,56,40
d,40,38,59,114,55,105,87,26,58,41
d,58,52,68,105,65,107,107,27,56,42
s,62,27,51,92,47,87,89,25,57,43
s,53,27,49,87,50,90,71,25,55,44
h,82,29,55,117,50,98,101,26,63,45
d,63,50,69,97,73,109,101,28,60,46
d,54,48,67,115,59,105,118,28,62,47
o,60,62,85,101,73,115,96,37,73,48
d,54,53,72,81,70,102,106,27,58,49
s,70,28,54,113,52,100,88,25,63,50
d,56,51,69,88,64,104,102,25,54,51
s,51,31,55,80,52,90,82,25,56,52
s,63,28,52,98,50,92,83,26,58,53
h,85,34,59,112,58,99,115,26,63,54
h,93,29,56,126,49,96,121,26,64,55
s,53,29,51,87,49,92,66,24,56,56
o,52,49,67,54,53,87,62,52,79,57
d,44,37,59,94,59,100,88,24,53,58
h,66,28,54,104,48,95,84,25,59,59
h,85,30,56,118,50,96,106,26,60,60
d,53,40,61,92,60,99,101,25,56,61
o,45,43,62,96,63,101,90,30,65,62
o,61,59,77,99,73,111,105,35,73,63
o,56,69,91,93,96,136,74,54,90,64
h,56,26,51,107,49,91,78,23,55,65
s,49,27,50,85,49,91,65,23,54,66
h,82,30,56,118,49,94,105,26,63,67
d,61,50,68,103,65,107,101,27,57,68
d,59,56,75,88,77,107,114,26,58,69
h,78,29,55,119,49,97,99,26,63,70
o,55,58,81,97,77,121,85,38,71,71
o,92,56,83,172,58,110,97,82,108,72
o,68,76,89,111,82,123,121,35,74,73
s,60,27,49,95,47,88,69,23,53,74
h,84,32,57,118,50,95,100,25,62,75
s,58,27,51,95,49,94,68,23,55,76
d,57,54,70,79,74,101,94,26,56,77
o,63,53,74,98,77,113,77,39,68,78
s,80,29,54,119,50,95,101,24,60,79
s,59,29,52,97,52,98,74,25,57,80
d,56,46,66,115,61,106,101,27,57,81
d,53,47,66,107,65,107,104,27,57,82
o,61,67,90,93,92,131,85,56,96,83
h,73,35,61,108,56,95,109,25,59,84
o,98,89,107,152,67,115,114,46,85,85
h,79,30,55,111,49,94,92,24,59,86
d,55,50,66,106,63,100,114,26,59,87
d,55,47,66,100,61,106,92,25,56,88
s,69,27,51,101,47,88,79,23,54,89
o,71,65,85,100,81,121,120,35,73,90
o,81,98,125,117,90,129,89,46,76,91
h,67,31,55,102,47,89,81,23,56,92
o,61,65,83,144,58,110,139,38,76,93
o,105,160,196,131,65,109,96,40,75,94
d,58,51,67,94,65,101,111,26,56,95
s,68,27,51,100,46,87,77,23,54,96
o,62,65,90,97,85,126,92,47,83,97
h,80,29,56,114,48,92,100,25,59,98
o,63,71,95,100,87,130,79,43,77,99
s,54,33,59,78,48,87,62,23,52,100
d,64,54,71,116,63,104,127,26,59,101
o,63,68,87,115,75,120,92,42,76,102
h,72,29,56,110,48,92,94,24,59,103
h,70,29,55,106,51,93,100,25,60,104
h,81,28,52,116,46,90,91,23,57,105
h,70,29,54,114,47,89,98,25,58,106
h,78,29,53,118,48,89,101,25,58,107
d,41,40,64,85,57,96,76,23,51,108
s,45,27,49,84,49,94,60,24,55,109
h,72,28,54,109,51,97,85,25,60,110
d,56,49,69,113,63,111,109,26,58,111
d,51,53,72,88,74,111,64,39,67,112
d,57,55,73,93,72,107,99,26,57,113
d,59,53,71,110,63,107,96,26,56,114
h,78,30,56,107,50,93,84,24,57,115
o,52,59,88,95,97,136,63,55,80,116
s,52,26,48,97,50,95,85,25,58,117
h,83,28,54,119,47,92,97,25,58,118
s,58,30,52,93,49,91,72,24,56,119
s,54,26,49,87,44,84,66,22,51,120
s,54,27,51,87,53,91,72,25,55,121
s,60,28,48,102,45,86,80,24,53,122
o,60,46,73,114,69,116,92,29,63,123
s,57,35,59,94,66,102,90,32,67,124
h,72,30,55,99,49,92,89,23,57,125
s,67,28,52,102,51,96,84,26,59,126
h,81,33,56,109,55,95,100,26,61,127
s,65,28,51,99,49,88,78,24,54,128
h,79,27,53,115,47,92,89,24,57,129
d,57,44,67,135,58,111,112,25,55,130
s,64,27,51,99,50,96,89,26,58,131
s,47,25,48,86,46,88,60,21,50,132
o,58,58,76,109,80,121,64,48,70,133
s,66,27,50,96,47,87,78,22,53,134
h,81,32,57,120,56,107,105,28,63,135
s,40,25,47,81,49,87,74,24,55,136
o,53,67,97,76,88,130,54,56,92,137
s,58,27,49,95,46,89,81,22,55,138
d,47,38,60,121,57,108,91,25,54,139
s,50,27,50,79,45,84,68,23,54,140
s,66,29,53,99,52,96,89,25,57,141
h,80,28,54,115,52,95,93,24,58,142
s,53,26,50,91,50,94,66,22,53,143
h,89,30,58,122,54,101,102,25,59,144
s,46,28,50,82,51,90,67,24,54,145
d,53,45,66,102,55,100,89,25,54,146
d,54,50,69,101,64,107,104,26,55,147
s,61,29,52,96,55,100,78,26,57,148
h,85,29,55,122,55,103,101,26,62,149
d,46,41,61,117,58,109,86,24,55,150
s,59,28,53,95,49,91,77,23,54,151
h,76,29,54,115,49,95,97,24,60,152
s,62,27,49,90,46,86,82,24,55,153
d,57,42,61,107,66,106,101,25,54,154
o,67,48,68,110,72,115,81,34,66,155
d,53,48,65,87,60,98,95,25,54,156
s,63,29,52,97,55,101,79,24,58,157
o,74,40,61,110,66,110,111,29,68,158
d,62,51,68,99,63,98,115,27,57,159
s,51,28,50,86,45,86,63,22,50,160
o,72,77,92,98,98,125,96,39,70,161
d,46,47,72,81,57,94,88,26,53,162
o,59,67,81,85,81,114,86,38,68,163
s,54,27,50,93,46,86,80,23,53,164
d,49,38,58,100,62,108,106,26,57,165
h,86,30,57,119,57,104,101,25,62,166
s,59,27,51,94,46,87,76,24,54,167
s,59,28,51,93,57,98,86,26,59,168
o,69,72,94,90,79,120,79,43,72,169
d,54,46,73,107,61,107,97,25,52,170
s,58,30,52,91,50,90,68,23,53,171
h,85,30,57,117,49,94,93,25,60,172
h,71,29,55,109,47,93,102,25,58,173
h,73,28,53,112,49,93,98,24,60,174
s,59,29,52,94,57,102,93,26,58,175
s,51,32,55,77,45,85,68,24,52,176
h,86,28,53,123,54,99,108,25,60,177
d,54,48,66,87,63,98,123,27,58,178
h,92,30,57,121,48,95,101,24,60,179
d,53,40,60,101,59,102,97,25,54,180
s,66,28,52,98,47,88,83,25,57,181
s,65,28,52,93,49,90,74,24,56,182
h,83,29,54,120,51,95,108,25,61,183
s,56,26,50,94,50,87,83,24,54,184
h,82,30,56,113,48,94,98,24,60,185
s,56,26,51,96,55,99,72,22,54,186
d,58,62,86,85,61,93,88,24,53,187
o,55,58,76,89,84,118,83,36,69,188
h,65,28,53,100,47,90,98,25,58,189
s,62,28,51,96,46,89,87,24,56,190
s,56,27,51,93,60,101,71,24,55,191
s,58,25,48,98,46,89,73,22,53,192
h,82,29,54,119,50,98,105,25,59,193
d,55,61,90,75,55,91,84,24,54,194
d,66,69,93,90,63,100,99,25,57,195
h,79,30,55,115,51,96,109,25,59,196
h,69,27,53,106,47,90,87,24,55,197
h,80,29,55,116,50,95,102,25,59,198
